Wall time,Step,Value
1745206832.0468128,19864,-1007.5784912109375
1745206832.3031542,19896,-1007.5238647460938
1745206833.2168849,20008,-1008.7532348632812
1745206833.5995781,20040,-1008.7306518554688
1745206834.8529246,20144,-1008.789794921875
1745206835.0656812,20168,-1008.8863525390625
1745206835.452778,20224,-1008.4658203125
1745206836.015712,20296,-1008.3860473632812
1745206837.700963,20440,-1008.4798583984375
1745206838.0936286,20480,-1008.3006591796875
1745206838.229793,20496,-1008.3020629882812
1745206839.0628965,20616,-1007.6182250976562
1745206839.298846,20648,-1007.5026245117188
1745206839.4537375,20672,-1007.4585571289062
1745206840.0479622,20744,-1006.850341796875
1745206842.6594043,20976,-1006.65966796875
1745206843.3208694,21032,-1006.3357543945312
1745206845.5594006,21208,-1006.3036499023438
1745206847.8172941,21384,-1006.1356811523438
1745206848.317365,21424,-1006.2028198242188
1745206850.5633874,21648,-1006.4835205078125
1745206851.85894,21768,-1006.8370361328125
1745206853.5232131,21968,-1007.1072998046875
1745206856.4384913,22240,-1007.3430786132812
1745206857.9889708,22376,-1007.79150390625
1745206861.1493878,22752,-1008.7898559570312
1745206862.261017,22856,-1009.511474609375
1745206863.5043213,22960,-1009.7875366210938
1745206866.2109737,23208,-1010.740234375
1745206870.7048008,23624,-1001.7289428710938
1745206874.4504607,24016,-1003.3506469726562
1745206874.964221,24080,-1003.30615234375
1745206875.449593,24136,-1003.8568725585938
1745206882.8016732,24944,-1013.0048828125
1745206886.1403499,25288,-1012.3927612304688
1745206888.8165967,25568,-1011.6768188476562
1745206889.0978627,25608,-1011.3094482421875
1745206889.7603598,25696,-1011.31591796875
1745206890.3989468,25784,-1010.6243896484375
1745206891.8415318,25928,-1011.0933227539062
1745206894.8223708,26224,-1008.7926025390625
1745206895.3132348,26296,-1008.2791748046875
1745206895.4694772,26320,-1008.3582153320312
1745206896.0195482,26400,-1008.3118286132812
1745206897.3657408,26560,-1008.020263671875
1745206899.9093242,26800,-1007.1567993164062
1745206900.1653585,26832,-1007.1390991210938
1745206900.9192586,26920,-1006.9653930664062
1745206901.2754116,26952,-1006.9856567382812
1745206903.8202693,27232,-1007.4451904296875
1745206904.0638542,27264,-1007.4281616210938
1745206908.1042776,27664,-1008.4221801757812
1745206909.4274707,27816,-1009.0079956054688
1745206909.7603595,27864,-1010.0797729492188
1745206910.5238817,27968,-1010.094482421875
1745206911.397345,28088,-1010.859375
1745206918.9557369,28984,-1014.2720947265625
1745206922.9609299,29336,-1014.4044799804688
1745206923.8835506,29416,-1015.4161376953125
1745206925.34918,29608,-1014.766357421875
1745206926.3404608,29728,-1014.0477294921875
1745206930.5356085,30120,-1012.7027587890625
1745206931.2794716,30184,-1013.1544799804688
1745206938.0422165,30768,-1014.23046875
1745206939.827486,30928,-1014.4613647460938
1745206940.7910266,31008,-1015.5809326171875
1745206943.5977402,31288,-1016.06689453125
1745206944.1140409,31368,-1017.0403442382812
1745206946.439696,31672,-1016.978759765625
1745206948.714289,31920,-1017.7967529296875
1745206955.1163163,32592,-1019.3301391601562
1745206956.5770802,32728,-1019.7465209960938
1745206970.6498919,34304,-1012.105712890625
1745206972.6586719,34560,-1010.1566162109375
1745206980.844421,35456,-1011.9568481445312
1745206984.1697993,35808,-1011.3272705078125
1745206986.1756797,36024,-1011.3384399414062
1745206994.63017,36968,-1010.0883178710938
1745207004.2079825,38072,-1009.73779296875
1745207007.1098251,38352,-1008.9532470703125
1745207013.020631,38992,-1008.826904296875
1745207018.256626,39544,-1009.7166748046875
1745207020.4574027,39800,-1010.4660034179688
1745207022.1403565,39968,-1021.0393676757812
1745207023.7772985,40176,-1021.7855834960938
1745207024.2264476,40232,-1022.6273803710938
1745207025.3917022,40360,-1023.5863037109375
1745207027.0261283,40608,-1022.9115600585938
1745207028.4033177,40744,-1022.8373413085938
1745207033.0358005,41200,-1024.51806640625
1745207033.6153076,41280,-1024.7271728515625
1745207036.7916486,41600,-1026.8753662109375
1745207039.1982238,41824,-1026.93115234375
1745207040.159954,41952,-1026.3084716796875
1745207043.1171043,42320,-1023.0487060546875
1745207044.07248,42416,-1022.8295288085938
1745207046.735135,42664,-1019.5213012695312
1745207048.2592752,42824,-1018.376708984375
1745207048.5520704,42864,-1018.3290405273438
1745207049.3106287,42968,-1017.8540649414062
1745207053.6472075,43424,-1013.684326171875
1745207055.1875403,43648,-1011.9186401367188
1745207055.4237044,43680,-1012.577392578125
1745207055.8459463,43744,-1011.7757568359375
1745207056.075101,43776,-1011.725341796875
1745207056.2659097,43808,-1011.48828125
1745207056.5139809,43840,-1011.2075805664062
1745207057.1621013,43896,-1010.81005859375
1745207058.1951556,43992,-1010.3201904296875
1745207059.405816,44104,-1009.5858764648438
1745207059.6775868,44128,-1009.4744262695312
1745207060.856689,44240,-1010.0242309570312
1745207061.7468023,44344,-1009.9149169921875
1745207062.6791544,44480,-1009.345703125
1745207063.5716066,44568,-1009.631591796875
1745207063.902378,44600,-1009.744873046875
1745207064.3108034,44640,-1009.8006591796875
1745207064.7523022,44680,-1009.6338500976562
1745207065.098773,44712,-1009.6199951171875
1745207065.8349204,44792,-1009.4066162109375
1745207066.064075,44824,-1009.6795043945312
1745207066.3476138,44864,-1009.5147094726562
1745207067.4207122,44976,-1010.0089721679688
1745207067.8564622,45032,-1010.086181640625
1745207068.3360553,45096,-1010.1337280273438
1745207069.0320184,45192,-1010.0294189453125
1745207069.8039873,45288,-1010.1146850585938
1745207070.3297613,45336,-1010.0885009765625
1745207072.7038484,45600,-1010.0791625976562
1745207073.8106833,45712,-1009.981201171875
1745207075.0041206,45856,-1009.648193359375
1745207075.894726,45952,-1009.7227783203125
1745207076.441582,46024,-1009.33935546875
1745207077.2924654,46112,-1008.5211181640625
1745207078.4976285,46256,-1008.2689208984375
1745207082.278332,46632,-1008.6194458007812
1745207086.3676527,47096,-1010.83935546875
1745207087.8562777,47248,-1012.2681274414062
1745207089.0686781,47408,-1013.1146850585938
1745207089.8115,47472,-1014.0570678710938
1745207096.2176929,48160,-1018.2687377929688
1745207102.30055,48808,-1024.3929443359375
1745207103.7817025,48976,-1025.6087646484375
1745207104.187745,49016,-1025.7047119140625
1745207107.2365665,49328,-1026.7049560546875
1745207109.348439,49512,-1026.2197265625
1745207109.9822452,49568,-1025.5543212890625
1745207112.0006094,49752,-1024.741943359375
1745207112.5097094,49800,-1024.876708984375
1745207112.9713914,49840,-1024.890380859375
1745207113.6559048,49936,-1023.2186889648438
1745207114.3855498,50040,-1022.1490478515625
1745207117.7161293,50440,-1019.2901000976562
1745207119.1407561,50600,-1018.94287109375
1745207119.7023108,50656,-1018.529541015625
1745207120.6379514,50776,-1018.6343383789062
1745207121.1378832,50840,-1018.3594360351562
1745207121.5381665,50896,-1017.9279174804688
1745207122.1603396,50976,-1017.581787109375
1745207122.7402678,51032,-1017.5243530273438
1745207125.0215268,51288,-1016.6033325195312
1745207126.8528664,51456,-1015.809814453125
1745207127.1129298,51480,-1015.0514526367188
1745207127.6845493,51552,-1014.6820678710938
1745207128.2345195,51624,-1013.9801635742188
1745207128.931447,51712,-1013.6773681640625
1745207129.1187532,51736,-1013.276123046875
1745207129.4483283,51776,-1012.777587890625
1745207129.5861166,51792,-1012.892578125
1745207129.9613893,51840,-1012.6508178710938
1745207130.8794234,51928,-1012.0916137695312
1745207131.6021636,51992,-1012.0020141601562
1745207132.36822,52064,-1010.9786376953125
1745207133.252611,52144,-1011.14599609375
1745207133.737393,52208,-1011.084228515625
1745207134.0336092,52248,-1011.0241088867188
1745207134.2244585,52272,-1010.7635498046875
1745207135.6904755,52464,-1010.3474731445312
1745207135.9106746,52496,-1009.9482421875
1745207136.2522326,52544,-1010.0103149414062
1745207137.3795125,52648,-1009.8743896484375
1745207139.108888,52808,-1009.6705322265625
1745207140.8532486,53032,-1010.3594360351562
1745207144.0726876,53448,-1012.567138671875
1745207145.1663885,53576,-1013.1123046875
1745207148.351769,53880,-1014.1460571289062
1745207150.2084928,54128,-1015.87060546875
1745207154.5895329,54560,-1018.6475830078125
1745207160.4533718,55224,-1024.4481201171875
1745207167.1635325,55856,-1028.6951904296875
1745207171.1951227,56264,-1033.647216796875
1745207196.1765423,59048,-1048.7869873046875
1745207204.0172846,59920,-1052.1612548828125
1745207207.0301614,60280,-1052.341796875
1745207210.1822445,60576,-1052.6134033203125
1745207216.8503163,61360,-1049.855224609375
1745207219.0471332,61648,-1050.415283203125
1745207221.5910795,61888,-1050.3494873046875
1745207226.4134698,62408,-1049.9034423828125
1745207230.221924,62840,-1048.4971923828125
1745207236.6559048,63576,-1035.3436279296875
1745207242.2740748,64200,-1022.0130615234375
1745207249.25835,65008,-1020.3744506835938
1745207252.5327826,65328,-1008.41357421875
1745207257.2646022,65912,-1007.6367797851562
1745207272.8825943,67672,-971.613525390625
1745207287.1901371,69272,-955.569091796875
1745207318.2325954,72808,-883.9783325195312
1745207321.7241933,73216,-874.0904541015625
1745207324.166393,73480,-873.1439819335938
1745207327.3418238,73880,-872.0579223632812
1745207333.396759,74632,-873.3242797851562
1745207345.474842,75960,-881.3111572265625
1745207350.873242,76552,-880.0580444335938
1745207353.2184222,76816,-869.8914184570312
1745207364.3532171,78080,-900.4127807617188
1745207365.3667676,78176,-900.6707153320312
1745207368.7497003,78608,-899.9440307617188
1745207373.228288,79072,-899.6973266601562
1745207399.700843,82096,-912.8079833984375
1745207406.7660162,82856,-901.5399169921875
1745207419.4414852,84232,-880.8146362304688
1745207453.838213,88056,-815.7117919921875
1745207462.1317947,89032,-782.4168701171875
1745207498.646371,93280,-773.9681396484375
1745207500.1762648,93424,-763.3982543945312
1745207511.6269777,94752,-764.8539428710938
1745207516.9898453,95384,-788.4194946289062
1745207519.7434032,95712,-778.3720092773438
1745207532.5657475,97168,-821.312744140625
1745207538.848462,97904,-823.0675048828125
1745207542.4012873,98272,-822.911865234375
1745207554.131955,99624,-844.1156616210938
1745207572.7358422,101672,-834.3101196289062
1745207575.0883029,101992,-822.3275146484375
1745207594.4403381,104176,-820.7500610351562
1745207596.7086966,104400,-810.0152587890625
1745207600.4199693,104848,-812.1741943359375
1745207609.418565,105872,-813.6796264648438
1745207619.6714306,107096,-790.3609008789062
1745207620.6602337,107192,-812.18212890625
1745207623.8235114,107560,-802.5307006835938
1745207632.6070256,108544,-789.7371215820312
1745207635.3310213,108872,-790.2525024414062
1745207668.9231331,112680,-781.0748901367188
1745207686.3193438,114688,-760.0785522460938
1745207696.1213915,115784,-770.383056640625
1745207707.4461312,117120,-766.484619140625
1745207710.807583,117520,-754.8591918945312
1745207729.56588,119696,-724.6954956054688
1745207739.1714725,120768,-730.0972900390625
1745207740.5245638,120952,-740.8250122070312
1745207747.2231448,121712,-752.7936401367188
1745207752.1716568,122264,-764.2500610351562
1745207766.8280745,123936,-754.8095092773438
1745207794.942088,127152,-786.9176635742188
1745207798.633433,127592,-809.9923706054688
1745207811.83243,129104,-811.900390625
1745207817.6097097,129760,-856.6052856445312
1745207818.477104,129888,-856.5056762695312
1745207834.4362595,131768,-845.401123046875
1745207841.4151611,132576,-819.2003173828125
1745207849.408531,133488,-827.269775390625
1745207866.5070274,135416,-802.1173095703125
1745207897.5204895,138912,-793.4199829101562
1745207900.7492409,139344,-803.966796875
1745207915.5659125,141000,-792.9517211914062
1745207924.5172627,142024,-780.0914916992188
1745207952.663443,145336,-799.5993041992188
1745207957.3146672,145880,-778.5830688476562
1745207964.5845835,146736,-806.3344116210938
1745207967.643391,147056,-828.2639770507812
1745207981.8607488,148672,-807.1810302734375
1745207998.3853772,150600,-806.991943359375
1745208008.9342644,151768,-773.4367065429688
1745208033.738025,154680,-800.93505859375
1745208036.2747254,154928,-801.1100463867188
1745208043.8775334,155744,-811.6165771484375
1745208073.9953473,159232,-733.3540649414062
1745208079.7991204,159888,-734.4376220703125
1745208106.5756013,163000,-770.470947265625
1745208125.9232981,165168,-804.4526977539062
1745208133.7549834,166056,-793.6006469726562
1745208135.5138159,166280,-794.127685546875
1745208170.0651262,170184,-837.6254272460938
1745208176.421501,170928,-825.4691772460938
1745208190.370624,172480,-791.8975219726562
1745208219.2415462,175760,-769.5554809570312
1745208222.1201065,176104,-759.458984375
1745208241.6714907,178304,-755.8214111328125
1745208254.7557695,179808,-717.0376586914062
1745208259.1735947,180360,-706.135498046875
1745208263.3558598,180824,-726.1549072265625
1745208274.5755796,182144,-724.5938720703125
1745208320.119295,187232,-781.4102172851562
1745208329.8791893,188328,-791.3798828125
1745208343.38728,189832,-801.8643798828125
1745208344.3381433,189920,-820.9609375
1745208344.5521746,189952,-830.0756225585938
1745208356.0553558,191312,-840.2418212890625
1745208359.1357985,191648,-850.8800048828125
1745208361.2091582,191888,-851.2007446289062
1745208424.559686,199192,-840.784912109375
1745208433.2743466,200208,-838.0020141601562
1745208449.0041404,201968,-817.7090454101562
1745208451.3207178,202200,-809.5496215820312
1745208458.8099253,203088,-799.594970703125
1745208461.5934536,203392,-811.7842407226562
1745208472.6047513,204528,-811.7243041992188
1745208485.2234697,206008,-804.9119262695312
1745208489.3313205,206424,-816.0553588867188
1745208497.6526546,207384,-781.5140991210938
1745208506.1156707,208344,-788.5991821289062
1745208512.0914865,209008,-775.09814453125
1745208518.8967826,209776,-774.5202026367188
1745208533.4499512,211408,-763.8632202148438
1745208540.673869,212216,-752.7021484375
1745208549.7960627,213240,-763.0140380859375
1745208557.2909908,214048,-762.363037109375
1745208562.5383594,214624,-772.7684936523438
1745208571.0249317,215632,-773.3993530273438
1745208612.108191,220312,-819.2723999023438
1745208626.6750026,221976,-819.1529541015625
1745208645.119221,224032,-853.22314453125
1745208647.875802,224360,-860.5535278320312
1745208652.6909254,224896,-841.6726684570312
1745208656.359298,225288,-851.4602661132812
1745208666.6334012,226456,-859.2351684570312
1745208676.3149312,227536,-866.8119506835938
1745208686.1879122,228720,-843.5755004882812
1745208697.9968884,230000,-811.8988647460938
1745208716.2252684,232056,-834.0536499023438
1745208724.054109,232920,-821.9275512695312
1745208730.187117,233568,-833.4769897460938
1745208732.024529,233832,-844.2692260742188
1745208738.2006252,234528,-863.2393798828125
1745208739.7267551,234688,-863.0593872070312
1745208741.9667606,234904,-863.9743041992188
1745208754.3438709,236304,-886.2919311523438
1745208783.387228,239568,-946.1055297851562
1745208803.3011963,241680,-917.0359497070312
1745208809.8563116,242440,-905.8670654296875
1745208829.4447324,244664,-907.3677978515625
1745208843.06128,246144,-852.8143920898438
1745208845.8108284,246560,-862.1441650390625
1745208852.404697,247288,-873.3967895507812
1745208855.843639,247648,-862.9356689453125
1745208872.5506546,249632,-849.865966796875
1745208886.3669596,251192,-869.1895141601562
1745208906.601619,253424,-868.0144653320312
1745208915.5065956,254464,-865.9702758789062
1745208930.6434493,256200,-900.1493530273438
1745208932.0990293,256336,-911.3859252929688
1745208942.1415462,257456,-923.547607421875
1745208946.9472756,257984,-928.1423950195312
1745208970.6009855,260656,-921.5193481445312
1745208973.3269603,260984,-920.6015014648438
1745208978.8041525,261632,-919.9635009765625
1745208995.0982788,263528,-895.136474609375
1745209003.3881001,264456,-873.0968627929688
1745209005.4243925,264696,-883.8948974609375
1745209009.2639747,265112,-885.033935546875
1745209013.909287,265688,-875.58642578125
1745209015.0600991,265792,-875.2718505859375
1745209037.3707445,268288,-854.8093872070312
1745209055.4828293,270312,-849.441162109375
1745209061.866271,271040,-848.005615234375
1745209078.4902024,272912,-875.1819458007812
1745209088.741192,273984,-864.151611328125
1745209098.9843245,275168,-852.4883422851562
1745209119.3930697,277512,-823.57470703125
1745209135.3784149,279072,-800.4303588867188
1745209161.9500475,281936,-791.5968627929688
1745209168.5796206,282680,-781.3201293945312
1745209175.9758043,283472,-800.5460205078125
1745209181.655802,284080,-800.0965576171875
1745209185.2006814,284440,-799.9286499023438
1745209197.1930058,285672,-810.9613647460938
1745209200.1905031,285992,-818.5819702148438
1745209207.624366,286768,-819.168701171875
1745209210.3069632,287080,-850.6209716796875
1745209220.648988,288168,-834.3173828125
1745209278.0387852,294592,-816.45654296875
1745209280.649165,294904,-827.4409790039062
1745209283.0842319,295144,-815.9087524414062
1745209286.114415,295536,-826.8270874023438
1745209299.2960062,297056,-782.1796875
1745209313.6920118,298632,-745.4915771484375
1745209323.1591687,299704,-713.919921875
1745209327.5307276,300112,-713.576416015625
1745209331.808103,300568,-712.7085571289062
1745209344.7460449,302064,-668.5789794921875
1745209348.3139007,302456,-677.8484497070312
1745209350.4944668,302720,-678.047119140625
1745209354.8142295,303184,-688.8309936523438
1745209364.857,304312,-687.3635864257812
1745209367.0855472,304576,-687.491455078125
1745209373.4157054,305344,-730.0562744140625
1745209398.3390121,308112,-771.3602905273438
1745209410.3925855,309480,-793.3955688476562
1745209413.5775652,309856,-804.7404174804688
1745209443.270405,313152,-804.0380859375
1745209450.9717925,313976,-772.7044677734375
1745209479.9820106,317240,-763.5892944335938
1745209499.2018073,319432,-729.1101684570312
1745209502.2640088,319776,-728.5478515625
1745209506.5274441,320232,-738.413818359375
1745209519.031151,321688,-705.5026245117188
1745209523.404118,322176,-716.1669311523438
1745209525.2712228,322376,-724.80712890625
1745209528.175006,322640,-724.1918334960938
1745209552.215849,325320,-713.81689453125
1745209554.072588,325528,-703.0001831054688
1745209557.428486,325904,-702.729736328125
1745209561.9728966,326416,-691.7552490234375
1745209568.8611298,327192,-735.7674560546875
1745209574.1961374,327736,-725.0645751953125
1745209578.21982,328192,-735.3672485351562
1745209579.8399107,328344,-724.8628540039062
1745209606.7445226,331416,-701.3299560546875
1745209618.3020444,332696,-731.6731567382812
1745209622.3088448,333152,-720.3062133789062
1745209630.126922,334056,-699.3869018554688
1745209648.4028265,336080,-730.171142578125
1745209653.3608878,336648,-740.4478759765625
1745209685.9967892,340200,-764.2431030273438
1745209703.5024064,342072,-773.680908203125
1745209706.1184237,342376,-773.4032592773438
1745209712.7868657,343160,-741.703125
1745209715.1639316,343408,-731.1768188476562
1745209733.7990212,345520,-720.6304321289062
1745209738.1873517,346008,-698.5904541015625
1745209752.3695638,347552,-730.8484497070312
1745209753.4028509,347680,-731.0458984375
1745209780.2582366,350592,-740.9519653320312
1745209790.7721531,351856,-750.924072265625
1745209795.6697009,352360,-740.6605224609375
1745209809.6578002,353912,-770.2003173828125
1745209839.3538532,357288,-705.2249755859375
1745209843.3339126,357712,-674.8031005859375
1745209850.431929,358560,-716.7158203125
1745209856.9332764,359288,-714.9484252929688
1745209859.8845294,359576,-694.3174438476562
1745209875.0633268,361312,-673.2081298828125
1745209884.0756247,362240,-686.5706176757812
1745209898.6327465,363688,-697.8357543945312
1745209904.087776,364368,-676.27587890625
1745209916.3892426,365704,-707.3956298828125
1745209921.5059369,366288,-676.377197265625
1745209923.3170443,366496,-655.2679443359375
1745209925.4857454,366704,-666.9874267578125
1745209932.7460594,367568,-687.5474853515625
1745209939.6300917,368312,-666.38623046875
1745209955.9210086,370112,-665.9927368164062
1745209963.7904043,371000,-664.7218017578125
1745209970.9481723,371816,-674.8277587890625
1745209979.4041865,372752,-664.6276245117188
1745209990.4155543,374016,-664.1153564453125
1745210003.2050438,375408,-663.4342041015625
1745210008.8729827,376040,-663.5889892578125
1745210023.7509277,377736,-684.1173095703125
1745210024.870424,377840,-684.2889404296875
1745210026.8996468,378048,-684.431396484375
1745210042.9930634,379880,-738.6739501953125
1745210047.53702,380360,-770.7531127929688
1745210051.1471457,380808,-771.9117431640625
1745210060.218187,381808,-825.1139526367188
1745210063.5231767,382208,-813.2134399414062
1745210077.3853638,383632,-814.0005493164062
1745210081.1963732,384040,-814.0923461914062
1745210088.5437899,384800,-846.5652465820312
1745210103.6584628,386408,-792.5679931640625
1745210106.739047,386792,-781.4973754882812
1745210109.6760912,387096,-771.3348999023438
1745210116.168222,387808,-781.5899658203125
1745210118.5830495,388120,-760.1375122070312
1745210121.8652446,388480,-738.51904296875
1745210131.3842847,389464,-759.5501708984375
1745210149.1355922,391496,-725.1241455078125
1745210152.0978868,391816,-714.1139526367188
1745210168.8711882,393712,-703.9102783203125
1745210174.8504455,394352,-682.2846069335938
1745210178.557992,394784,-693.0681762695312
1745210180.3845232,395000,-693.0653076171875
1745210213.5589888,398608,-639.6661376953125
1745210223.4867268,399792,-652.072265625
1745210225.481206,399976,-641.77880859375
1745210228.2705736,400264,-642.0001831054688
1745210229.9241545,400488,-653.381591796875
1745210234.8395946,400960,-652.8379516601562
1745210252.2406147,402968,-662.8422241210938
1745210254.98704,403272,-662.5755615234375
1745210257.8454528,403568,-662.7395629882812
1745210263.0980613,404104,-673.3281860351562
1745210265.495093,404424,-685.2718505859375
1745210276.6235561,405680,-695.6878662109375
1745210283.7809029,406472,-727.41650390625
1745210286.8968716,406912,-716.2777709960938
1745210291.2068923,407336,-737.6096801757812
1745210313.241102,409776,-728.6218872070312
1745210321.3348825,410728,-760.2059326171875
1745210350.8532882,413968,-683.564453125
1745210368.8756382,415864,-683.6165161132812
1745210371.2499988,416152,-683.9822998046875
1745210390.0806906,418240,-673.5467529296875
1745210392.2518656,418496,-684.0380859375
1745210394.8221405,418792,-674.038330078125
1745210399.748046,419400,-653.1011352539062
1745210422.6782038,421888,-643.2232666015625
1745210435.3508856,423304,-675.0248413085938
1745210439.3658717,423656,-663.8953247070312
1745210471.636984,426896,-587.6099853515625
1745210473.765133,427120,-587.6237182617188
1745210479.7888656,427808,-619.25048828125
1745210492.595097,429192,-597.8582153320312
1745210506.7375565,430832,-587.2632446289062
1745210514.347126,431712,-576.7212524414062
1745210526.3312356,433032,-535.7864990234375
1745210547.2848098,435408,-560.1737060546875
1745210562.28658,436800,-571.1403198242188
1745210565.9322636,437176,-550.7176513671875
1745210577.804755,438512,-539.913330078125
1745210582.1427698,438920,-561.805908203125
1745210591.065056,439976,-616.5422973632812
1745210604.902795,441448,-681.6897583007812
1745210610.353363,442048,-670.4583129882812
1745210615.6482303,442656,-638.1362915039062
1745210621.4455698,443288,-637.5691528320312
1745210624.7608287,443712,-637.9588623046875
1745210646.3499436,446160,-657.3564453125
1745210653.2703273,446920,-668.7630615234375
1745210656.976903,447336,-668.9920654296875
1745210675.8073432,449464,-658.8389282226562
1745210680.5774412,449944,-637.08447265625
1745210684.3078961,450392,-604.6563720703125
1745210689.4918537,450976,-604.6508178710938
1745210699.0313325,452016,-583.447265625
1745210743.246652,457080,-582.7092895507812
1745210776.6146293,460840,-538.6981811523438
1745210786.0674489,461960,-572.0556030273438
1745210804.9006965,463944,-626.2945556640625
1745210806.9444072,464216,-604.85009765625
1745210823.8373046,466144,-585.4287719726562
1745210826.4962165,466392,-585.8912353515625
1745210829.5822353,466768,-628.0037231445312
1745210845.6371298,468624,-620.7858276367188
1745210847.9225376,468864,-621.4761962890625
1745210870.294255,471376,-652.6071166992188
1745210875.8526027,472032,-642.005615234375
1745210884.8684385,473024,-609.5745849609375
1745210887.4116666,473280,-598.2178955078125
1745210895.3002746,474216,-587.392822265625
1745210900.3118763,474744,-587.2423095703125
1745210905.3888674,475360,-618.5103149414062
1745210920.1299036,477048,-585.9302368164062
1745210928.5713437,477960,-604.062744140625
1745210938.702799,479112,-583.111328125
1745210947.1972172,480056,-583.2872924804688
1745210958.7849085,481296,-571.772705078125
1745210969.5319185,482552,-549.1675415039062
1745210976.2633324,483296,-582.96630859375
1745210997.4929185,485616,-584.6480102539062
1745211001.894725,486112,-574.3292236328125
1745211009.1633494,486896,-585.8190307617188
1745211015.671894,487640,-576.7504272460938
1745211051.0447946,491448,-609.8522338867188
1745211054.0161715,491800,-599.0611572265625
1745211055.56217,491976,-620.8963623046875
1745211063.3640456,492872,-632.7584838867188
1745211114.9249651,498688,-533.7520141601562
1745211129.9248896,500408,-490.7447204589844
1745211143.262788,501928,-490.7402038574219
1745211148.9520981,502560,-491.2108154296875
1745211157.3793392,503520,-512.1831665039062
1745211162.5167234,504040,-501.4349060058594
1745211173.979899,505296,-512.9669189453125
1745211181.030568,506104,-501.70281982421875
1745211188.230447,506904,-479.5013732910156
1745211208.2392535,509248,-488.938720703125
1745211220.3011174,510624,-478.7178955078125
1745211230.642108,511792,-470.6766662597656
1745211234.05456,512136,-494.015869140625
1745211245.0483978,513296,-461.9037170410156
1745211258.0709283,514800,-439.4979553222656
